x y z qx qy qz qw yaw_deg direction
8.808523 18.849030 0.000000 0.000000 0.000000 0.091859 0.995772 10.54 reverse
8.827154 18.843870 0.000000 0.000000 0.000000 0.088424 0.996083 10.15 reverse
8.915726 18.883465 0.000000 0.000000 0.000000 0.085244 0.996360 9.78 reverse
8.936379 18.879410 0.000000 0.000000 0.000000 0.087302 0.996182 10.02 reverse
8.956948 18.874489 0.000000 0.000000 0.000000 0.084503 0.996423 9.69 reverse
8.977585 18.869424 0.000000 0.000000 0.000000 0.081705 0.996657 9.37 reverse
8.998594 18.865366 0.000000 0.000000 0.000000 0.084625 0.996413 9.71 reverse
9.019440 18.860242 0.000000 0.000000 0.000000 0.082479 0.996593 9.46 reverse
9.099362 18.900126 0.000000 0.000000 0.000000 0.080607 0.996746 9.25 reverse
9.122053 18.896467 0.000000 0.000000 0.000000 0.083806 0.996482 9.61 reverse
9.144623 18.891871 0.000000 0.000000 0.000000 0.082236 0.996613 9.43 reverse
9.167357 18.887165 0.000000 0.000000 0.000000 0.080662 0.996742 9.25 reverse
9.190418 18.883469 0.000000 0.000000 0.000000 0.083508 0.996507 9.58 reverse
9.213364 18.878773 0.000000 0.000000 0.000000 0.082361 0.996603 9.45 reverse
9.247531 18.914978 0.000000 0.000000 0.000000 0.081438 0.996678 9.34 reverse
9.271251 18.911795 0.000000 0.000000 0.000000 0.083876 0.996476 9.62 reverse
9.294944 18.907834 0.000000 0.000000 0.000000 0.083038 0.996546 9.53 reverse
9.318812 18.903803 0.000000 0.000000 0.000000 0.082198 0.996616 9.43 reverse
9.342898 18.900596 0.000000 0.000000 0.000000 0.084289 0.996441 9.67 reverse
9.366970 18.896590 0.000000 0.000000 0.000000 0.083674 0.996493 9.60 reverse
9.400654 18.933256 0.000000 0.000000 0.000000 0.083292 0.996525 9.56 reverse
9.425382 18.930639 0.000000 0.000000 0.000000 0.085044 0.996377 9.76 reverse
9.450183 18.927414 0.000000 0.000000 0.000000 0.084587 0.996416 9.70 reverse
9.475101 18.924154 0.000000 0.000000 0.000000 0.084131 0.996455 9.65 reverse
9.500217 18.921544 0.000000 0.000000 0.000000 0.085703 0.996321 9.83 reverse
9.525401 18.918310 0.000000 0.000000 0.000000 0.085373 0.996349 9.79 reverse
9.594127 18.958414 0.000000 0.000000 0.000000 0.085328 0.996353 9.79 reverse
9.620605 18.956445 0.000000 0.000000 0.000000 0.086627 0.996241 9.94 reverse
9.647171 18.954022 0.000000 0.000000 0.000000 0.086389 0.996261 9.91 reverse
9.673858 18.951581 0.000000 0.000000 0.000000 0.086152 0.996282 9.88 reverse
9.700746 18.949632 0.000000 0.000000 0.000000 0.087264 0.996185 10.01 reverse
9.727690 18.947224 0.000000 0.000000 0.000000 0.087093 0.996200 9.99 reverse
9.821438 18.988999 0.000000 0.000000 0.000000 0.087230 0.996188 10.01 reverse
9.850165 18.987753 0.000000 0.000000 0.000000 0.088148 0.996107 10.11 reverse
9.878969 18.986180 0.000000 0.000000 0.000000 0.088028 0.996118 10.10 reverse
9.907996 18.984596 0.000000 0.000000 0.000000 0.074031 0.997256 8.49 reverse
9.937162 18.983389 0.000000 0.000000 0.000000 0.074818 0.997197 8.58 reverse
9.966426 18.981847 0.000000 0.000000 0.000000 0.074736 0.997203 8.57 reverse
10.071611 19.070356 0.000000 0.000000 0.000000 0.075271 0.997163 8.63 reverse
10.102870 19.070816 0.000000 0.000000 0.000000 0.075729 0.997128 8.69 reverse
10.134272 19.071092 0.000000 0.000000 0.000000 0.075657 0.997134 8.68 reverse
10.165899 19.071379 0.000000 0.000000 0.000000 0.075586 0.997139 8.67 reverse
10.197647 19.071878 0.000000 0.000000 0.000000 0.075861 0.997118 8.70 reverse
10.229546 19.072207 0.000000 0.000000 0.000000 0.075780 0.997125 8.69 reverse
10.345174 19.147915 0.000000 0.000000 0.000000 0.076235 0.997090 8.74 reverse
10.379179 19.149932 0.000000 0.000000 0.000000 0.076609 0.997061 8.79 reverse
10.413368 19.151825 0.000000 0.000000 0.000000 0.076556 0.997065 8.78 reverse
10.447795 19.153747 0.000000 0.000000 0.000000 0.086219 0.996276 9.89 reverse
10.482301 19.155880 0.000000 0.000000 0.000000 0.086591 0.996244 9.94 reverse
10.517041 19.157876 0.000000 0.000000 0.000000 0.086564 0.996246 9.93 reverse
10.637166 19.221682 0.000000 0.000000 0.000000 0.086982 0.996210 9.98 reverse
10.674045 19.225066 0.000000 0.000000 0.000000 0.087221 0.996189 10.01 reverse
10.711087 19.228392 0.000000 0.000000 0.000000 0.087212 0.996190 10.01 reverse
10.748427 19.231765 0.000000 0.000000 0.000000 0.091743 0.995783 10.53 reverse
10.785880 19.235263 0.000000 0.000000 0.000000 0.091897 0.995768 10.55 reverse
10.823485 19.238711 0.000000 0.000000 0.000000 0.091893 0.995769 10.54 reverse
10.980439 19.295569 0.000000 0.000000 0.000000 0.092250 0.995736 10.59 reverse
11.020932 19.300180 0.000000 0.000000 0.000000 0.092326 0.995729 10.59 reverse
11.061645 19.304805 0.000000 0.000000 0.000000 0.104058 0.994571 11.95 reverse
11.102605 19.309480 0.000000 0.000000 0.000000 0.104057 0.994571 11.95 reverse
11.143760 19.314237 0.000000 0.000000 0.000000 0.104116 0.994565 11.95 reverse
11.185083 19.319002 0.000000 0.000000 0.000000 0.104116 0.994565 11.95 reverse
11.323668 19.411560 0.000000 0.000000 0.000000 0.104808 0.994492 12.03 reverse
11.367483 19.418180 0.000000 0.000000 0.000000 0.118906 0.992906 13.66 reverse
11.415445 19.425488 0.000000 0.000000 0.000000 0.118914 0.992905 13.66 reverse
11.455809 19.431663 0.000000 0.000000 0.000000 0.118920 0.992904 13.66 reverse
11.500327 19.438472 0.000000 0.000000 0.000000 0.118913 0.992905 13.66 reverse
11.545005 19.445357 0.000000 0.000000 0.000000 0.118926 0.992903 13.66 reverse
11.670339 19.516093 0.000000 0.000000 0.000000 0.135747 0.990744 15.60 reverse
11.717194 19.524339 0.000000 0.000000 0.000000 0.135666 0.990755 15.59 reverse
11.764240 19.532716 0.000000 0.000000 0.000000 0.135684 0.990752 15.60 reverse
11.811661 19.541189 0.000000 0.000000 0.000000 0.135702 0.990750 15.60 reverse
11.859261 19.549645 0.000000 0.000000 0.000000 0.135624 0.990760 15.59 reverse
11.907050 19.558234 0.000000 0.000000 0.000000 0.135642 0.990758 15.59 reverse
11.981400 19.606154 0.000000 0.000000 0.000000 0.143099 0.989708 16.45 reverse
12.030289 19.615602 0.000000 0.000000 0.000000 0.142952 0.989730 16.44 reverse
12.079370 19.625217 0.000000 0.000000 0.000000 0.142966 0.989728 16.44 reverse
12.128820 19.634934 0.000000 0.000000 0.000000 0.142980 0.989726 16.44 reverse
12.178470 19.644607 0.000000 0.000000 0.000000 0.142854 0.989744 16.43 reverse
12.228289 19.654444 0.000000 0.000000 0.000000 0.142865 0.989742 16.43 reverse
12.297843 19.687261 0.000000 0.000000 0.000000 0.143785 0.989609 16.53 reverse
12.348648 19.697637 0.000000 0.000000 0.000000 0.143653 0.989628 16.52 reverse
12.399637 19.708180 0.000000 0.000000 0.000000 0.143663 0.989627 16.52 reverse
12.450994 19.718829 0.000000 0.000000 0.000000 0.143673 0.989625 16.52 reverse
12.502544 19.729447 0.000000 0.000000 0.000000 0.143581 0.989639 16.51 reverse
12.554291 19.740228 0.000000 0.000000 0.000000 0.143593 0.989637 16.51 reverse
12.575788 19.803111 0.000000 0.000000 0.000000 0.154702 0.987961 17.80 reverse
12.627503 19.815016 0.000000 0.000000 0.000000 0.154522 0.987989 17.78 reverse
12.679405 19.827144 0.000000 0.000000 0.000000 0.154536 0.987987 17.78 reverse
12.731634 19.839382 0.000000 0.000000 0.000000 0.154549 0.987985 17.78 reverse
12.784109 19.851712 0.000000 0.000000 0.000000 0.154563 0.987983 17.78 reverse
12.836852 19.863967 0.000000 0.000000 0.000000 0.154421 0.988005 17.77 reverse
12.862102 19.905071 0.000000 0.000000 0.000000 0.171777 0.985136 19.78 reverse
12.914734 19.918098 0.000000 0.000000 0.000000 0.171604 0.985166 19.76 reverse
12.967559 19.931361 0.000000 0.000000 0.000000 0.171622 0.985163 19.76 reverse
13.020754 19.944754 0.000000 0.000000 0.000000 0.171640 0.985160 19.77 reverse
13.074142 19.958056 0.000000 0.000000 0.000000 0.171476 0.985188 19.75 reverse
13.127711 19.971596 0.000000 0.000000 0.000000 0.171492 0.985186 19.75 reverse
13.117946 19.990658 0.000000 0.000000 0.000000 0.171758 0.985139 19.78 reverse
13.170770 20.004377 0.000000 0.000000 0.000000 0.176186 0.984357 20.30 reverse
13.223752 20.018321 0.000000 0.000000 0.000000 0.176200 0.984354 20.30 reverse
13.277111 20.032402 0.000000 0.000000 0.000000 0.176215 0.984352 20.30 reverse
13.330661 20.046403 0.000000 0.000000 0.000000 0.176054 0.984381 20.28 reverse
13.384348 20.060626 0.000000 0.000000 0.000000 0.176065 0.984379 20.28 reverse
13.347274 20.061863 0.000000 0.000000 0.000000 0.176205 0.984354 20.30 reverse
13.399654 20.075910 0.000000 0.000000 0.000000 0.176044 0.984382 20.28 reverse
13.452193 20.090165 0.000000 0.000000 0.000000 0.176053 0.984381 20.28 reverse
13.505071 20.104549 0.000000 0.000000 0.000000 0.166035 0.986120 19.11 reverse
